test_id,query,product_id,title,variant
"TX-000020","Clear Ginger and",234496,"Clear Ginger and Chamomile Herbal Shampoo 630G",partial
"TX-000021","Clear Ginge rand Chamomile Herbal Shampoo 630G",234496,"Clear Ginger and Chamomile Herbal Shampoo 630G",typo
"TX-000022","WisdomUp Silicone 1m Type-C Fast Charging Cable SJX-35CC",234497,"WisdomUp Silicone 1m Type-C Fast Charging Cable SJX-35CC",exact
"TX-000023","WisdomUp Silicone 1m Type-C",234497,"WisdomUp Silicone 1m Type-C Fast Charging Cable SJX-35CC",partial
"TX-000024","WisdomUp Silicnoe 1m Type-C Fast Charging Cable SJX-35CC",234497,"WisdomUp Silicone 1m Type-C Fast Charging Cable SJX-35CC",typo
"TX-000025","Choice L Whole Napa Cabbage Kimchi 1kg",234500,"Choice L Whole Napa Cabbage Kimchi 1kg",exact
"TX-000026","Choice L Whole",234500,"Choice L Whole Napa Cabbage Kimchi 1kg",partial
"TX-000027","Choice L hWole Napa Cabbage Kimchi 1kg",234500,"Choice L Whole Napa Cabbage Kimchi 1kg",typo
"TX-000028","WisdomUp Mini Power Bank CDB-22",234502,"WisdomUp Mini Power Bank CDB-22",exact
"TX-000029","WisdomUp Mini",234502,"WisdomUp Mini Power Bank CDB-22",partial
"TX-000030","WisdomU pMini Power Bank CDB-22",234502,"WisdomUp Mini Power Bank CDB-22",typo
"TX-000031","WisdomUp 1m Dual-Head Charging Cable SJX 20CC",234503,"WisdomUp 1m Dual-Head Charging Cable SJX 20CC",exact
"TX-000032","WisdomUp 1m Dual-Head",234503,"WisdomUp 1m Dual-Head Charging Cable SJX 20CC",partial
"TX-000033","WisdomUp 1mD ual-Head Charging Cable SJX 20CC",234503,"WisdomUp 1m Dual-Head Charging Cable SJX 20CC",typo
"TX-000034","Heineken Brut Lager Beer 5% ABV 750ml",234504,"Heineken Brut Lager Beer 5% ABV 750ml",exact
"TX-000035","Heineken Brut Lager",234504,"Heineken Brut Lager Beer 5% ABV 750ml",partial
"TX-000036","Heineken rBut Lager Beer 5% ABV 750ml",234504,"Heineken Brut Lager Beer 5% ABV 750ml",typo
"TX-000037","WisdomUp PVC & Nylon 3m Type-C Fast Charging Cable SJX-34T",234505,"WisdomUp PVC & Nylon 3m Type-C Fast Charging Cable SJX-34T",exact
"TX-000038","WisdomUp PVC & Nylon",234505,"WisdomUp PVC & Nylon 3m Type-C Fast Charging Cable SJX-34T",partial
"TX-000039","WisdomUp PVC &N ylon 3m Type-C Fast Charging Cable SJX-34T",234505,"WisdomUp PVC & Nylon 3m Type-C Fast Charging Cable SJX-34T",typo
"TX-000040","Choice L Chicken Nugget 500G",234506,"Choice L Chicken Nugget 500G",exact
"TX-000041","Choice L",234506,"Choice L Chicken Nugget 500G",partial
"TX-000042","Choice  LChicken Nugget 500G",234506,"Choice L Chicken Nugget 500G",typo
"TX-000043","WisdomUp PVC & Nylon 1m Type-C Fast Charging Cable SJX-38CC",234514,"WisdomUp PVC & Nylon 1m Type-C Fast Charging Cable SJX-38CC",exact
"TX-000044","WisdomUp PVC & Nylon",234514,"WisdomUp PVC & Nylon 1m Type-C Fast Charging Cable SJX-38CC",partial
"TX-000045","WisdomUp PVC &N ylon 1m Type-C Fast Charging Cable SJX-38CC",234514,"WisdomUp PVC & Nylon 1m Type-C Fast Charging Cable SJX-38CC",typo
"TX-000046","WisdomUp TPE & Nylon 1.2m 3-in-1 Fast Charging Cable SJX-28",234515,"WisdomUp TPE & Nylon 1.2m 3-in-1 Fast Charging Cable SJX-28",exact
"TX-000047","WisdomUp TPE & Nylon",234515,"WisdomUp TPE & Nylon 1.2m 3-in-1 Fast Charging Cable SJX-28",partial
"TX-000048","WisdomUp TPE &N ylon 1.2m 3-in-1 Fast Charging Cable SJX-28",234515,"WisdomUp TPE & Nylon 1.2m 3-in-1 Fast Charging Cable SJX-28",typo
"TX-000049","TTC Sliced American Beef Plate For Grill 250G",234525,"TTC Sliced American Beef Plate For Grill 250G",exact
"TX-000050","TTC Sliced American Beef",234525,"TTC Sliced American Beef Plate For Grill 250G",partial
"TX-000051","TTC Sliced mAerican Beef Plate For Grill 250G",234525,"TTC Sliced American Beef Plate For Grill 250G",typo
"TX-000052","Choice L Helmet Size M (Assorted Styles)",234526,"Choice L Helmet Size M (Assorted Styles)",exact
"TX-000053","Choice L Helmet",234526,"Choice L Helmet Size M (Assorted Styles)",partial
"TX-000054","Choice L Hlemet Size M (Assorted Styles)",234526,"Choice L Helmet Size M (Assorted Styles)",typo
"TX-000055","Molfix Oxygen Diaper Pants Size M Pack 76 Pieces (For Babies 6-11kg)",234528,"Molfix Oxygen Diaper Pants Size M Pack 76 Pieces (For Babies 6-11kg)",exact
"TX-000056","Molfix Oxygen Diaper Pants",234528,"Molfix Oxygen Diaper Pants Size M Pack 76 Pieces (For Babies 6-11kg)",partial
"TX-000057","Molfix Oxygen Diaepr Pants Size M Pack 76 Pieces (For Babies 6-11kg)",234528,"Molfix Oxygen Diaper Pants Size M Pack 76 Pieces (For Babies 6-11kg)",typo
"TX-000058","Rondoletti Plum Caramel Cream Wafer Rolls 300G",234529,"Rondoletti Plum Caramel Cream Wafer Rolls 300G",exact
"TX-000059","Rondoletti Plum Caramel",234529,"Rondoletti Plum Caramel Cream Wafer Rolls 300G",partial
"TX-000060","Rondoletti lPum Caramel Cream Wafer Rolls 300G",234529,"Rondoletti Plum Caramel Cream Wafer Rolls 300G",typo
"TX-000061","Welna Minced Meat Spaghetti Sauce 240G",234534,"Welna Minced Meat Spaghetti Sauce 240G",exact
"TX-000062","Welna Minced Meat",234534,"Welna Minced Meat Spaghetti Sauce 240G",partial
"TX-000063","Welna Minecd Meat Spaghetti Sauce 240G",234534,"Welna Minced Meat Spaghetti Sauce 240G",typo
"TX-000064","Welna Spicy Minced Meat Spaghetti Sauce 240G",234536,"Welna Spicy Minced Meat Spaghetti Sauce 240G",exact
"TX-000065","Welna Spicy Minced",234536,"Welna Spicy Minced Meat Spaghetti Sauce 240G",partial
"TX-000066","Welna SpicyM inced Meat Spaghetti Sauce 240G",234536,"Welna Spicy Minced Meat Spaghetti Sauce 240G",typo
"TX-000067","P/S Expert Gentle Gum Care Toothbrushes 2 Pieces",234540,"P/S Expert Gentle Gum Care Toothbrushes 2 Pieces",exact
"TX-000068","P/S Expert Gentle Gum",234540,"P/S Expert Gentle Gum Care Toothbrushes 2 Pieces",partial
"TX-000069","P/S Expert Gnetle Gum Care Toothbrushes 2 Pieces",234540,"P/S Expert Gentle Gum Care Toothbrushes 2 Pieces",typo
"TX-000070","Nivea Extra Bright C & AHA Serum Body Lotion 300ml",234541,"Nivea Extra Bright C & AHA Serum Body Lotion 300ml",exact
"TX-000071","Nivea Extra Bright C",234541,"Nivea Extra Bright C & AHA Serum Body Lotion 300ml",partial
"TX-000072","Nivea Extra rBight C & AHA Serum Body Lotion 300ml",234541,"Nivea Extra Bright C & AHA Serum Body Lotion 300ml",typo
"TX-000073","Rondoletti Chocolate Cream Wafer Rolls 300G",234543,"Rondoletti Chocolate Cream Wafer Rolls 300G",exact
"TX-000074","Rondoletti Chocolate Cream",234543,"Rondoletti Chocolate Cream Wafer Rolls 300G",partial
"TX-000075","RondolettiC hocolate Cream Wafer Rolls 300G",234543,"Rondoletti Chocolate Cream Wafer Rolls 300G",typo
"TX-000076","Pangkor Boy Japanese Flavor Dried Squid 40G",234545,"Pangkor Boy Japanese Flavor Dried Squid 40G",exact
"TX-000077","Pangkor Boy Japanese",234545,"Pangkor Boy Japanese Flavor Dried Squid 40G",partial
"TX-000078","Pangkor Bo yJapanese Flavor Dried Squid 40G",234545,"Pangkor Boy Japanese Flavor Dried Squid 40G",typo
"TX-000079","Welna Mushroom Cheese Spaghetti Sauce 240G",234548,"Welna Mushroom Cheese Spaghetti Sauce 240G",exact
"TX-000080","Welna Mushroom Cheese",234548,"Welna Mushroom Cheese Spaghetti Sauce 240G",partial
"TX-000081","Welna Mushorom Cheese Spaghetti Sauce 240G",234548,"Welna Mushroom Cheese Spaghetti Sauce 240G",typo
"TX-000082","TTC American Beef Chuck Eye Roll For Grill 250G",234550,"TTC American Beef Chuck Eye Roll For Grill 250G",exact
"TX-000083","TTC American Beef Chuck",234550,"TTC American Beef Chuck Eye Roll For Grill 250G",partial
"TX-000084","TTC America nBeef Chuck Eye Roll For Grill 250G",234550,"TTC American Beef Chuck Eye Roll For Grill 250G",typo
"TX-000085","TTC Fresh Pho Co Style Beef Stew 500G",234552,"TTC Fresh Pho Co Style Beef Stew 500G",exact
"TX-000086","TTC Fresh Pho Co",234552,"TTC Fresh Pho Co Style Beef Stew 500G",partial
"TX-000087","TTC FreshP ho Co Style Beef Stew 500G",234552,"TTC Fresh Pho Co Style Beef Stew 500G",typo
"TX-000088","Molfix Oxygen Diaper Pants Size L Pack 68 Pieces (For Babies 9-13kg)",234555,"Molfix Oxygen Diaper Pants Size L Pack 68 Pieces (For Babies 9-13kg)",exact
"TX-000089","Molfix Oxygen Diaper Pants",234555,"Molfix Oxygen Diaper Pants Size L Pack 68 Pieces (For Babies 9-13kg)",partial
"TX-000090","Molfix Oxygen Diaepr Pants Size L Pack 68 Pieces (For Babies 9-13kg)",234555,"Molfix Oxygen Diaper Pants Size L Pack 68 Pieces (For Babies 9-13kg)",typo
"TX-000091","Oliv Extra Brightening Body Wash 1L",234556,"Oliv Extra Brightening Body Wash 1L",exact
"TX-000092","Oliv Extra Brightening",234556,"Oliv Extra Brightening Body Wash 1L",partial
"TX-000093","Oliv Extar Brightening Body Wash 1L",234556,"Oliv Extra Brightening Body Wash 1L",typo
"TX-000094","Welna Sweet Pork And Mushroom Rice Cooking Sauce 240G",234558,"Welna Sweet Pork And Mushroom Rice Cooking Sauce 240G",exact
"TX-000095","Welna Sweet Pork And",234558,"Welna Sweet Pork And Mushroom Rice Cooking Sauce 240G",partial
"TX-000096","Welna Sweet Prok And Mushroom Rice Cooking Sauce 240G",234558,"Welna Sweet Pork And Mushroom Rice Cooking Sauce 240G",typo
"TX-000097","Rondoletti Tiramisu Cream Wafer Rolls 300G",234559,"Rondoletti Tiramisu Cream Wafer Rolls 300G",exact
"TX-000098","Rondoletti Tiramisu Cream",234559,"Rondoletti Tiramisu Cream Wafer Rolls 300G",partial
"TX-000099","RondolettiT iramisu Cream Wafer Rolls 300G",234559,"Rondoletti Tiramisu Cream Wafer Rolls 300G",typo
"TX-000100","Rondoletti Hazelnut Chocolate Cream Wafer Rolls 300G",234562,"Rondoletti Hazelnut Chocolate Cream Wafer Rolls 300G",exact
"TX-000101","Rondoletti Hazelnut Chocolate",234562,"Rondoletti Hazelnut Chocolate Cream Wafer Rolls 300G",partial
"TX-000102","Rondoletti Haezlnut Chocolate Cream Wafer Rolls 300G",234562,"Rondoletti Hazelnut Chocolate Cream Wafer Rolls 300G",typo
"TX-000103","Welna Sweet Sweet Potato And Corn Rice Cooking Sauce 240G",234563,"Welna Sweet Sweet Potato And Corn Rice Cooking Sauce 240G",exact
"TX-000104","Welna Sweet Sweet Potato",234563,"Welna Sweet Sweet Potato And Corn Rice Cooking Sauce 240G",partial
"TX-000105","Welna Sweet Sweet Potato And Corn Rice Cooking Sauce 240G product",234563,"Welna Sweet Sweet Potato And Corn Rice Cooking Sauce 240G",extended
"TX-000106","Rondoletti Summer Wild Strawberry Cream Wafer Rolls 300G",234564,"Rondoletti Summer Wild Strawberry Cream Wafer Rolls 300G",exact
"TX-000107","Rondoletti Summer Wild Strawberry",234564,"Rondoletti Summer Wild Strawberry Cream Wafer Rolls 300G",partial
"TX-000108","Rondoletti Sumemr Wild Strawberry Cream Wafer Rolls 300G",234564,"Rondoletti Summer Wild Strawberry Cream Wafer Rolls 300G",typo
"TX-000109","Sun House Thermos KS-TH2000VI 2L",234566,"Sun House Thermos KS-TH2000VI 2L",exact
"TX-000110","Sun House",234566,"Sun House Thermos KS-TH2000VI 2L",partial
"TX-000111","Sun Hous eThermos KS-TH2000VI 2L",234566,"Sun House Thermos KS-TH2000VI 2L",typo
"TX-000112","Oliv X3 Moisturizing Body Wash 1L",234569,"Oliv X3 Moisturizing Body Wash 1L",exact
"TX-000113","Oliv X3 Moisturizing",234569,"Oliv X3 Moisturizing Body Wash 1L",partial
"TX-000114","Oliv X3 oMisturizing Body Wash 1L",234569,"Oliv X3 Moisturizing Body Wash 1L",typo
"TX-000115","Samyang Roasted Shrimp Garlic Flavor Noodles 80G",234571,"Samyang Roasted Shrimp Garlic Flavor Noodles 80G",exact
"TX-000116","Samyang Roasted Shrimp",234571,"Samyang Roasted Shrimp Garlic Flavor Noodles 80G",partial
"TX-000117","Samyang Roasetd Shrimp Garlic Flavor Noodles 80G",234571,"Samyang Roasted Shrimp Garlic Flavor Noodles 80G",typo
"TX-000118","Vinamilk Hay Day Butterfly Pea Kombucha 320ml",234572,"Vinamilk Hay Day Butterfly Pea Kombucha 320ml",exact
"TX-000119","Vinamilk Hay Day",234572,"Vinamilk Hay Day Butterfly Pea Kombucha 320ml",partial
"TX-000120","Vinamilk Ha yDay Butterfly Pea Kombucha 320ml",234572,"Vinamilk Hay Day Butterfly Pea Kombucha 320ml",typo
"TX-000121","Samyang Black Pepper Chicken Flavor Noodles 80G",234574,"Samyang Black Pepper Chicken Flavor Noodles 80G",exact
"TX-000122","Samyang Black Pepper",234574,"Samyang Black Pepper Chicken Flavor Noodles 80G",partial
"TX-000123","Samyang Blakc Pepper Chicken Flavor Noodles 80G",234574,"Samyang Black Pepper Chicken Flavor Noodles 80G",typo
"TX-000124","Molfix Oxygen Diaper Pants Size XXL Pack 56 Pieces (For Babies 15-25kg)",234575,"Molfix Oxygen Diaper Pants Size XXL Pack 56 Pieces (For Babies 15-25kg)",exact
"TX-000125","Molfix Oxygen Diaper Pants",234575,"Molfix Oxygen Diaper Pants Size XXL Pack 56 Pieces (For Babies 15-25kg)",partial
"TX-000126","Molfix Oxygen Diaepr Pants Size XXL Pack 56 Pieces (For Babies 15-25kg)",234575,"Molfix Oxygen Diaper Pants Size XXL Pack 56 Pieces (For Babies 15-25kg)",typo
"TX-000127","Hapii Organic Robusta Filter Coffee 100G",234579,"Hapii Organic Robusta Filter Coffee 100G",exact
"TX-000128","Hapii Organic Robusta",234579,"Hapii Organic Robusta Filter Coffee 100G",partial
"TX-000129","Hapii Orgainc Robusta Filter Coffee 100G",234579,"Hapii Organic Robusta Filter Coffee 100G",typo
"TX-000130","Ma Bay X2 Szechuan BBQ and Fried Meat Complete Seasoning Set 80G",234580,"Ma Bay X2 Szechuan BBQ and Fried Meat Complete Seasoning Set 80G",exact
"TX-000131","Ma Bay X2 Szechuan",234580,"Ma Bay X2 Szechuan BBQ and Fried Meat Complete Seasoning Set 80G",partial
"TX-000132","Ma Bay X2 Szechuna BBQ and Fried Meat Complete Seasoning Set 80G",234580,"Ma Bay X2 Szechuan BBQ and Fried Meat Complete Seasoning Set 80G",typo
"TX-000133","Elmich Trimax Induction Stainless Steel Pan EL2828IN20 Size 20cm",234581,"Elmich Trimax Induction Stainless Steel Pan EL2828IN20 Size 20cm",exact
"TX-000134","Elmich Trimax Induction Stainless",234581,"Elmich Trimax Induction Stainless Steel Pan EL2828IN20 Size 20cm",partial
"TX-000135","Elmich Trimax Inudction Stainless Steel Pan EL2828IN20 Size 20cm",234581,"Elmich Trimax Induction Stainless Steel Pan EL2828IN20 Size 20cm",typo
"TX-000136","Maxx Face Wipes 8 Boxes",234586,"Maxx Face Wipes 8 Boxes",exact
"TX-000137","Maxx Face",234586,"Maxx Face Wipes 8 Boxes",partial
"TX-000138","Maxx aFce Wipes 8 Boxes",234586,"Maxx Face Wipes 8 Boxes",typo
"TX-000139","Elmich Trimax Induction Stainless Steel Pan EL2828IN24 Size 24cm",234590,"Elmich Trimax Induction Stainless Steel Pan EL2828IN24 Size 24cm",exact
"TX-000140","Elmich Trimax Induction Stainless",234590,"Elmich Trimax Induction Stainless Steel Pan EL2828IN24 Size 24cm",partial
"TX-000141","Elmich Trimax Inudction Stainless Steel Pan EL2828IN24 Size 24cm",234590,"Elmich Trimax Induction Stainless Steel Pan EL2828IN24 Size 24cm",typo
"TX-000142","Closeup Toothpaste Bamboo Charcoal & Mint 180G",234591,"Closeup Toothpaste Bamboo Charcoal & Mint 180G",exact
"TX-000143","Closeup Toothpaste Bamboo",234591,"Closeup Toothpaste Bamboo Charcoal & Mint 180G",partial
"TX-000144","Closeup Toohtpaste Bamboo Charcoal & Mint 180G",234591,"Closeup Toothpaste Bamboo Charcoal & Mint 180G",typo
"TX-000145","Daisy Premium Pillowcase 40x60cm",234592,"Daisy Premium Pillowcase 40x60cm",exact
"TX-000146","Daisy Premium",234592,"Daisy Premium Pillowcase 40x60cm",partial
"TX-000147","Daisy Prmeium Pillowcase 40x60cm",234592,"Daisy Premium Pillowcase 40x60cm",typo
"TX-000148","Towel 30x50cm",234593,"Towel 30x50cm",exact
"TX-000149","Towle 30x50cm",234593,"Towel 30x50cm",typo
"TX-000150","Towel 30x50cm product",234593,"Towel 30x50cm",extended
"TX-000151","Kotex Night Sanitary Pad 25cm 3 Sheets",234594,"Kotex Night Sanitary Pad 25cm 3 Sheets",exact
"TX-000152","Kotex Night Sanitary",234594,"Kotex Night Sanitary Pad 25cm 3 Sheets",partial
"TX-000153","Kotex Nigth Sanitary Pad 25cm 3 Sheets",234594,"Kotex Night Sanitary Pad 25cm 3 Sheets",typo
"TX-000154","Cocoon Toner 310ml",234595,"Cocoon Toner 310ml",exact
"TX-000155","Cocoon Toner",234595,"Cocoon Toner 310ml",partial
"TX-000156","Cocono Toner 310ml",234595,"Cocoon Toner 310ml",typo
"TX-000157","Conditioner or Shower Gel 150G",234597,"Conditioner or Shower Gel 150G",exact
"TX-000158","Conditioner or",234597,"Conditioner or Shower Gel 150G",partial
"TX-000159","Conditinoer or Shower Gel 150G",234597,"Conditioner or Shower Gel 150G",typo
"TX-000160","Facial Cleanser 100G",234599,"Facial Cleanser 100G",exact
"TX-000161","Facial Cleanser",234599,"Facial Cleanser 100G",partial
"TX-000162","Facia lCleanser 100G",234599,"Facial Cleanser 100G",typo
"TX-000163","Basin 24cm",234600,"Basin 24cm",exact
"TX-000164","Baisn 24cm",234600,"Basin 24cm",typo
"TX-000165","Basin 24cm product",234600,"Basin 24cm",extended
"TX-000166","Plastic Bottle",234601,"Plastic Bottle",exact
"TX-000167","Platsic Bottle",234601,"Plastic Bottle",typo
"TX-000168","Plastic Bottle product",234601,"Plastic Bottle",extended
"TX-000169","Shower Gel 60ml",234602,"Shower Gel 60ml",exact
"TX-000170","Shower Gel",234602,"Shower Gel 60ml",partial
"TX-000171","Shoewr Gel 60ml",234602,"Shower Gel 60ml",typo
"TX-000172","Blue Liquid Detergent 3.6L",234603,"Blue Liquid Detergent 3.6L",exact
"TX-000173","Blue Liquid",234603,"Blue Liquid Detergent 3.6L",partial
"TX-000174","Blue Lqiuid Detergent 3.6L",234603,"Blue Liquid Detergent 3.6L",typo
"TX-000175","True Care Bathroom Cleaner 900ml",234604,"True Care Bathroom Cleaner 900ml",exact
"TX-000176","True Care",234604,"True Care Bathroom Cleaner 900ml",partial
"TX-000177","True Car eBathroom Cleaner 900ml",234604,"True Care Bathroom Cleaner 900ml",typo
"TX-000178","Listerine Mouthwash 750ml",234605,"Listerine Mouthwash 750ml",exact
"TX-000179","Listerine Mouthwash",234605,"Listerine Mouthwash 750ml",partial
"TX-000180","Listernie Mouthwash 750ml",234605,"Listerine Mouthwash 750ml",typo
"TX-000181","Sunstick Sunscreen 50G",234606,"Sunstick Sunscreen 50G",exact
"TX-000182","Sunstick Sunscreen",234606,"Sunstick Sunscreen 50G",partial
"TX-000183","Sunstcik Sunscreen 50G",234606,"Sunstick Sunscreen 50G",typo
"TX-000184","Shower Gel 200G",234608,"Shower Gel 200G",exact
"TX-000185","Shower Gel",234608,"Shower Gel 200G",partial
"TX-000186","Shoewr Gel 200G",234608,"Shower Gel 200G",typo
"TX-000187","Shower Gel 600G",234609,"Shower Gel 600G",exact
"TX-000188","Shower Gel",234609,"Shower Gel 600G",partial
"TX-000189","Shoewr Gel 600G",234609,"Shower Gel 600G",typo
"TX-000190","Backpack",234610,"Backpack",exact
"TX-000191","Bakcpack",234610,"Backpack",typo
"TX-000192","Backpack product",234610,"Backpack",extended
"TX-000193","Ceramic Bowl",234613,"Ceramic Bowl",exact
"TX-000194","Cermaic Bowl",234613,"Ceramic Bowl",typo
"TX-000195","Ceramic Bowl product",234613,"Ceramic Bowl",extended
"TX-000196","Spaghetti 500G",234615,"Spaghetti 500G",exact
"TX-000197","Spahgetti 500G",234615,"Spaghetti 500G",typo
"TX-000198","Spaghetti 500G product",234615,"Spaghetti 500G",extended
"TX-000199","Tote Bag",234616,"Tote Bag",exact
"TX-000200","Toet Bag",234616,"Tote Bag",typo
"TX-000201","Tote Bag product",234616,"Tote Bag",extended
"TX-000202","Pretz Gochujang Stick Crackers 28G",234617,"Pretz Gochujang Stick Crackers 28G",exact
"TX-000203","Pretz Gochujang",234617,"Pretz Gochujang Stick Crackers 28G",partial
"TX-000204","Pretz Gohcujang Stick Crackers 28G",234617,"Pretz Gochujang Stick Crackers 28G",typo
"TX-000205","Poca Cheese Rice Crackers 108G",234618,"Poca Cheese Rice Crackers 108G",exact
"TX-000206","Poca Cheese",234618,"Poca Cheese Rice Crackers 108G",partial
"TX-000207","Poca Cheese Rice Crackers 108G product",234618,"Poca Cheese Rice Crackers 108G",extended
"TX-000208","Kenju Cracker 192G",234619,"Kenju Cracker 192G",exact
"TX-000209","Kenju Cracker",234619,"Kenju Cracker 192G",partial
"TX-000210","Kenj uCracker 192G",234619,"Kenju Cracker 192G",typo
"TX-000211","Kenju Marshmallow Cream Cracker 186G",234620,"Kenju Marshmallow Cream Cracker 186G",exact
"TX-000212","Kenju Marshmallow",234620,"Kenju Marshmallow Cream Cracker 186G",partial
"TX-000213","Kenju Marhsmallow Cream Cracker 186G",234620,"Kenju Marshmallow Cream Cracker 186G",typo
"TX-000214","Cau Tre Complete Sauce 120G",234621,"Cau Tre Complete Sauce 120G",exact
"TX-000215","Cau Tre",234621,"Cau Tre Complete Sauce 120G",partial
"TX-000216","Cau Tr eComplete Sauce 120G",234621,"Cau Tre Complete Sauce 120G",typo
"TX-000217","Otta Fruit Oatmeal 250G",234622,"Otta Fruit Oatmeal 250G",exact
"TX-000218","Otta Fruit",234622,"Otta Fruit Oatmeal 250G",partial
"TX-000219","Otta rFuit Oatmeal 250G",234622,"Otta Fruit Oatmeal 250G",typo
"TX-000220","Comet Electric Kettle CM8219 1.8L",234628,"Comet Electric Kettle CM8219 1.8L",exact
"TX-000221","Comet Electric",234628,"Comet Electric Kettle CM8219 1.8L",partial
"TX-000222","Comet Elcetric Kettle CM8219 1.8L",234628,"Comet Electric Kettle CM8219 1.8L",typo
"TX-000223","Perfect Mini Electric Hotpot PF-M7 2l",234633,"Perfect Mini Electric Hotpot PF-M7 2l",exact
"TX-000224","Perfect Mini Electric",234633,"Perfect Mini Electric Hotpot PF-M7 2l",partial
"TX-000225","Perfect Mnii Electric Hotpot PF-M7 2l",234633,"Perfect Mini Electric Hotpot PF-M7 2l",typo
"TX-000226","Comet Multi Pot CM7739 3.5L",234634,"Comet Multi Pot CM7739 3.5L",exact
"TX-000227","Comet Multi",234634,"Comet Multi Pot CM7739 3.5L",partial
"TX-000228","Comet uMlti Pot CM7739 3.5L",234634,"Comet Multi Pot CM7739 3.5L",typo
"TX-000229","Shower Mate Natural Clean Cotton Body Wash 500ml",234675,"Shower Mate Natural Clean Cotton Body Wash 500ml",exact
"TX-000230","Shower Mate Natural Clean",234675,"Shower Mate Natural Clean Cotton Body Wash 500ml",partial
"TX-000231","Shower Mate aNtural Clean Cotton Body Wash 500ml",234675,"Shower Mate Natural Clean Cotton Body Wash 500ml",typo
"TX-000232","[Hot Deal] - Hao Hao Sour And Sweet Shrimp Fried Instant Noodles 75g x 30 pakcs",234683,"[Hot Deal] - Hao Hao Sour And Sweet Shrimp Fried Instant Noodles 75g x 30 pakcs",exact
"TX-000233","[Hot Deal] - Hao",234683,"[Hot Deal] - Hao Hao Sour And Sweet Shrimp Fried Instant Noodles 75g x 30 pakcs",partial
"TX-000234","[Hot Deal] - Hao Ha oSour And Sweet Shrimp Fried Instant Noodles 75g x 30 pakcs",234683,"[Hot Deal] - Hao Hao Sour And Sweet Shrimp Fried Instant Noodles 75g x 30 pakcs",typo
"TX-000235","Water Bottle",234684,"Water Bottle",exact
"TX-000236","Watre Bottle",234684,"Water Bottle",typo
"TX-000237","Water Bottle product",234684,"Water Bottle",extended
"TX-000238","Blind Bag Or Cup",234685,"Blind Bag Or Cup",exact
"TX-000239","Blind Bag",234685,"Blind Bag Or Cup",partial
"TX-000240","Blin dBag Or Cup",234685,"Blind Bag Or Cup",typo
"TX-000241","Gift Bathroom Cleaner 900ml",234686,"Gift Bathroom Cleaner 900ml",exact
"TX-000242","Gift Bathroom",234686,"Gift Bathroom Cleaner 900ml",partial
"TX-000243","Gift Btahroom Cleaner 900ml",234686,"Gift Bathroom Cleaner 900ml",typo
