term,variant,relation_type,lang,confidence,verified_by
Thực Phẩm Tươi,신선식품,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Gia Vị,Seasonings,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Gia Vị,조미료,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Hàn Quốc,South Korea,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Hàn Quốc,한국,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Choice L,Choice L,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Choice L,Choice L,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Dụng Cụ Nhà Bếp,Kitchen Utensils,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Dụng Cụ Nhà Bếp,주방용품,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đông Lạnh,Frozen Food,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đông Lạnh,냉동식품,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Kẹo,Candy,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Kẹo,사탕,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sữa Tắm,Body Wash,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sữa Tắm,바디워시,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Ăn Liền,Ready to Eat,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Ăn Liền,즉석식품,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Thái Lan,Thailand,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Thái Lan,태국,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đồ Chơi,Toys,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đồ Chơi,장난감,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Dầu Gội,Shampoo,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Dầu Gội,샴푸,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Mì Ăn Liền,Instant Noodles,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Mì Ăn Liền,인스턴트 면,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Nam Giới,Men,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Nam Giới,남성,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Giải Khát,Beverages,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Giải Khát,음료,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Bánh Quy,Cookies,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Bánh Quy,쿠키,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Nước Ngọt,Soft Drinks,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Nước Ngọt,탄산음료,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Cà Phê,Coffee,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Cà Phê,커피,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sữa Nước,Liquid Milk,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sữa Nước,액상 우유,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đồ Khô,Dry Goods,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Đồ Khô,건조식품,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Gia Dụng,Household Goods,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Gia Dụng,생활용품,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Rau Củ Tươi,Fresh Vegetables,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Rau Củ Tươi,신선 채소,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Nước Giặt,Laundry Detergent,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Nước Giặt,액체 세탁세제,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Hải Sản,Seafood,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Hải Sản,해산물,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Ẩm Thực Hàn Quốc,Korean Food,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Ẩm Thực Hàn Quốc,한식,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Trái Cây,Fruit,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Trái Cây,과일,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sữa Chua,Yogurt,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Sữa Chua,요거트,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
365 Fresh,365 Fresh,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
365 Fresh,365 Fresh,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Socola,Chocolate,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Socola,초콜릿,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
Bia,Beer,tag,vi,low,"derived from dev tag taxonomy (lotte_tags_vi_en_ko_description_v2.csv, 2026-08-25) - NO per-SKU tag assignment exists yet, matched only via literal substring of the VI tag name inside product titles - needs QA/BA verification + real per-product tag data before use in a real test cycle. Real search-service tag-field boost weight = 0 (ServiceConfig_SearchService.png, 2026-08-25) - tag-dimension queries are NOT expected to rank via tag relevance."
