tag,product_count,tag_en,tag_ko,description_vi
365 Fresh,180,365 Fresh,365 Fresh,Sản phẩm thuộc nhãn hoặc nhóm 365 Fresh.
Socola,177,Chocolate,초콜릿,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Socola”.
Bia,177,Beer,맥주,Đồ uống có cồn thuộc loại “Bia”.
Dầu Ăn,173,Cooking Oil,식용유,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Dầu Ăn”."
Rong Biển,158,Seaweed,김·해조류,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Rong Biển”."
Xúc Xích,156,Sausage,소시지,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Xúc Xích”."
Giặt Máy,154,Machine Wash,세탁기용,Sản phẩm phù hợp hoặc chuyên dùng cho giặt bằng máy.
Bữa Sáng,153,Breakfast,아침식사,Thực phẩm và đồ uống phù hợp dùng vào bữa sáng.
Có Cồn,152,Alcoholic,알코올 함유,Sản phẩm có chứa cồn.
Kẹo Dẻo,151,Gummy Candy,젤리 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Dẻo”.
Không Đường,147,Sugar Free,무설탕,Sản phẩm được công bố không đường hoặc không bổ sung đường.
Trà Gói,142,Packaged Tea,포장 차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Gói”."
Cà Phê Hòa Tan,141,Instant Coffee,인스턴트 커피,Sản phẩm cà phê thuộc nhóm hoặc cách chế biến “Cà Phê Hòa Tan”.
Nhật Bản,139,Japan,일본,Sản phẩm có xuất xứ từ Nhật Bản.
Sữa Tươi,130,Fresh Milk,신선 우유,Sản phẩm sữa hoặc đồ uống từ sữa thuộc nhóm “Sữa Tươi”.
Thời Trang,127,Fashion,패션,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Thời Trang”.
Hạt Sấy,127,Roasted & Dried Nuts,구운·건조 견과,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Hạt Sấy”."
Phô Mai,126,Cheese,치즈,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Phô Mai”."
Malaysia,124,Malaysia,말레이시아,Sản phẩm có xuất xứ từ Malaysia.
Vệ Sinh Bếp,122,Kitchen Cleaning,주방 청소,Sản phẩm dùng để làm sạch hoặc vệ sinh khu vực bếp.
Tiệt Trùng,121,Sterilizing,살균,Sản phẩm đã qua xử lý tiệt trùng.
Món Nhanh,121,Quick Meals,간편식,Món ăn hoặc sản phẩm có thời gian chuẩn bị nhanh.
Lăn Khử Mùi,120,Roll-On Deodorant,롤온 데오도란트,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Lăn Khử Mùi”.
Nước Mắm,119,Fish Sauce,피시소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Nước Mắm”."
Nước Rửa Chén,115,Dishwashing Liquid,주방세제,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Nước Rửa Chén”."
Dầu Xả,115,Conditioner,컨디셔너,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Dầu Xả”.
Khăn Giấy Khô,113,Dry Tissue,마른 티슈,Sản phẩm khăn giấy khô dùng cho vệ sinh và sinh hoạt hằng ngày.
Thịt Heo,113,Pork,돼지고기,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Thịt Heo”."
Chống Nắng,113,Sun Protection,자외선 차단,Sản phẩm giúp bảo vệ da trước tác động của ánh nắng.
Hộp Đựng Thực Phẩm,111,Food Storage Container,식품 보관용기,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Hộp Đựng Thực Phẩm”.
Sữa Rửa Mặt,107,Facial Cleanser,클렌저,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Sữa Rửa Mặt”.
Khăn Giấy Ướt,107,Wet Wipes,물티슈,Sản phẩm khăn giấy ướt dùng cho vệ sinh cá nhân hoặc gia đình.
Rau Lá,106,Leafy Vegetables,잎채소,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Rau Lá”."
Bàn Chà,105,Scrub Brush,청소 브러시,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Bàn Chà”."
Indonesia,104,Indonesia,인도네시아,Sản phẩm có xuất xứ từ Indonesia.
Thịt Gà,103,Chicken,닭고기,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Thịt Gà”."
Thơm Phòng,103,Room Fragrance,실내 방향제,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Thơm Phòng”."
Ngũ Cốc,98,Cereals,시리얼·곡물,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Ngũ Cốc”."
Thịt Bò,97,Beef,소고기,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Thịt Bò”."
Ly Nước,95,Drinking Glass,음료컵,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Ly Nước”.
Rượu Vang,91,Wine,와인,Đồ uống có cồn thuộc loại “Rượu Vang”.
Sơ Chế Sẵn,91,Pre-Prepared,손질 완료,"Thực phẩm đã được làm sạch, cắt hoặc sơ chế trước khi bán."
Sữa Hạt,89,Plant-Based Nut Milk,견과 식물성 음료,Sản phẩm sữa hoặc đồ uống từ sữa thuộc nhóm “Sữa Hạt”.
Đáy Từ,89,Induction-Compatible,인덕션 호환,"Nồi, chảo hoặc dụng cụ nấu tương thích với bếp từ."
Nước Lau Sàn,88,Floor Cleaner,바닥 세정제,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Nước Lau Sàn”."
Úc,88,Australia,호주,Sản phẩm có xuất xứ từ Úc.
Ít Đường,88,Low Sugar,저당,Sản phẩm có hàm lượng đường thấp hoặc được công bố ít đường.
Nhà Tắm,86,Bathroom,욕실,Sản phẩm sử dụng chủ yếu trong khu vực nhà tắm.
Mỹ,84,United States,미국,Sản phẩm có xuất xứ từ Mỹ.
Món Chay,82,Vegetarian Food,채식 음식,Món ăn hoặc sản phẩm phù hợp chế độ ăn chay.
Bình Nước,82,Water Bottle,물병,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Bình Nước”.
Giặt Xả,80,Laundry Detergent & Softener,세탁세제·섬유유연제,Sản phẩm phục vụ nhu cầu giặt và xả quần áo.
Khoai Tây,79,Potato,감자,Rau củ hoặc nguyên liệu thực phẩm thuộc nhóm “Khoai Tây”.
Nhà Bếp,77,Kitchen,주방,Sản phẩm sử dụng chủ yếu trong khu vực nhà bếp.
Mặt Nạ,77,Face Mask,마스크팩,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Mặt Nạ”.
Bánh Gạo,76,Rice Crackers,쌀과자,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Gạo”.
Sấy Khô,76,Dried,건조,Thực phẩm hoặc nguyên liệu được làm khô bằng phương pháp sấy.
Hạt Nêm,75,Seasoning Granules,조미 과립,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Hạt Nêm”.
Gạo,74,Rice,쌀,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Gạo”."
Cà Phê Hạt,74,Coffee Beans,원두커피,Sản phẩm cà phê thuộc nhóm hoặc cách chế biến “Cà Phê Hạt”.
Ý,74,Italy,이탈리아,Sản phẩm có xuất xứ từ Ý.
Bánh Ngọt,72,Sweet Pastries,디저트 빵,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Ngọt”.
Chảo,72,Frying Pan,프라이팬,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Chảo”.
Cá Tươi,72,Fresh Fish,신선 생선,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Cá Tươi”.
Gối,71,Pillow,베개,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Gối”."
Inox 304,69,304 Stainless Steel,304 스테인리스,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Inox 304."
Muối,68,Salt,소금,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Muối”.
Pizza,68,Pizza,피자,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Pizza”.
Thú Bông,67,Plush Toys,봉제인형,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Thú Bông”.
Rổ,67,Basket,바구니,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Rổ”.
Hữu Cơ,67,Organic,유기농,Sản phẩm hữu cơ hoặc có chứng nhận/tiêu chuẩn hữu cơ.
Cotton,67,Cotton,면,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Cotton."
Bánh Que,67,Biscuit Sticks,스틱 과자,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Que”.
Vang Đỏ,67,Red Wine,레드 와인,Đồ uống có cồn thuộc loại “Vang Đỏ”.
Đồ Sơ Sinh,67,Newborn Essentials,신생아 용품,Sản phẩm dành cho trẻ sơ sinh.
Đồ Chơi Xe,66,Toy Vehicles,자동차 장난감,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Đồ Chơi Xe”.
Nước Tẩy Trang,66,Micellar Cleansing Water,클렌징 워터,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Nước Tẩy Trang”.
Sáp Thơm,66,Scented Wax,방향 왁스,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Sáp Thơm”."
Diệt Côn Trùng,65,Insect Control,해충 방제,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Diệt Côn Trùng”."
Bông Tẩy Trang,65,Cotton Pads,화장솜,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Bông Tẩy Trang”.
Tráng Miệng,65,Dessert,디저트,Món ăn hoặc sản phẩm dùng làm món tráng miệng.
Nước Tương,64,Soy Sauce,간장,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Nước Tương”."
Tương Ớt,63,Chili Sauce,칠리소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Tương Ớt”."
Tã Giấy,63,Disposable Diapers,일회용 기저귀,Sản phẩm tã giấy dùng cho trẻ nhỏ hoặc nhu cầu chăm sóc cá nhân.
Pháp,62,France,프랑스,Sản phẩm có xuất xứ từ Pháp.
New Zealand,61,New Zealand,뉴질랜드,Sản phẩm có xuất xứ từ New Zealand.
Chăn Ga Gối,61,Bedding,침구,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Chăn Ga Gối”."
Trứng,60,Eggs,계란,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Trứng”."
Mật Ong,60,Honey,꿀,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Mật Ong”."
Món Việt,60,Vietnamese Food,베트남 음식,Món ăn hoặc sản phẩm thuộc nhóm “Món Việt”.
Kem Dưỡng Da,60,Moisturizing Cream,보습 크림,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Kem Dưỡng Da”.
Dao Cạo,60,Razor,면도기,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Dao Cạo”.
Cá Hộp,59,Canned Fish,생선 통조림,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Cá Hộp”.
Làm Bánh,59,Baking,베이킹,"Nguyên liệu, dụng cụ hoặc sản phẩm phù hợp để làm bánh."
Nước Ép Hỗn Hợp,59,Mixed Fruit Juice,혼합 과일주스,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Ép Hỗn Hợp”.
Thau,58,Basin,대야,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Thau”.
Sốt Ướp,57,Marinade Sauce,양념 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Ướp”."
Bánh Xốp,56,Wafer,웨이퍼,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Xốp”.
Cắt Lát,56,Sliced,슬라이스,Thực phẩm hoặc nguyên liệu được sơ chế dạng lát.
Xịt Phòng,55,Room Spray,룸 스프레이,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Xịt Phòng”."
Đồ Ngọt,55,Sweets,단 음식,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Đồ Ngọt”.
Hạt Điều,54,Cashew,캐슈넛,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Hạt Điều”."
Sữa Tắm Bé,54,Baby Body Wash,베이비 바디워시,Sản phẩm dành cho trẻ em.
Nồi,54,Pot,냄비,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Nồi”.
Rượu Mạnh,54,Spirits,증류주,Đồ uống có cồn thuộc loại “Rượu Mạnh”.
Đĩa Sứ,54,Porcelain Plate,도자기 접시,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Đĩa Sứ”.
Khô Cá,54,Dried Fish,건어물 생선,Cá được làm khô hoặc sản phẩm chế biến từ cá khô.
Kẹo Gum,54,Chewing Gum,껌,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Gum”.
Bút Gel,53,Gel Pen,젤펜,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Bút Gel”.
Thức Ăn Thú Cưng,52,Pet Food,반려동물 사료,Thức ăn và dinh dưỡng dành cho thú cưng.
Trà Xanh,52,Green Tea,녹차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Xanh”."
Móc Treo,52,Hanger,걸이,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Móc Treo”.
Đậu Phộng,52,Peanut,땅콩,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Đậu Phộng”."
Sữa Bột,51,Powdered Milk,분유·분말 우유,Sản phẩm sữa hoặc đồ uống từ sữa thuộc nhóm “Sữa Bột”.
Đức,50,Germany,독일,Sản phẩm có xuất xứ từ Đức.
Thạch,50,Jelly,젤리,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Thạch”.
Chống Dính,50,Non-Stick,논스틱,Dụng cụ nấu có bề mặt hoặc lớp phủ chống dính.
Nui,50,Pasta,파스타,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Nui”."
Chả Giò,49,Spring Rolls,짜조,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Chả Giò”."
Trị Gàu,49,Anti-Dandruff,비듬 케어,Sản phẩm hỗ trợ giảm hoặc kiểm soát gàu.
Thịt Tươi,49,Fresh Meat,신선 육류,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Thịt Tươi”."
Anh,48,United Kingdom,영국,Sản phẩm có xuất xứ từ Vương quốc Anh.
Món Nướng,48,Grilled Food,구이 요리,Món ăn hoặc sản phẩm thuộc nhóm “Món Nướng”.
Há Cảo,47,Har Gow Dumplings,하가우,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Há Cảo”."
Thú Cưng,47,Pets,반려동물,Sản phẩm dành cho thú cưng.
Xông Khói,47,Smoked,훈제,Thực phẩm được chế biến hoặc tạo hương bằng phương pháp xông khói.
Bánh Bao,47,Steamed Buns,찐빵·바오,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Bao”.
Tô Sứ,46,Porcelain Bowl,도자기 볼,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Tô Sứ”.
Nhuộm Tóc,45,Hair Coloring,염색,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Nhuộm Tóc”.
Tẩy Tế Bào Chết,45,Exfoliating,각질 제거,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Tẩy Tế Bào Chết”.
Mì Ý,45,Spaghetti,스파게티,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Ý”."
Có Thạch,45,With Jelly,젤리 함유,Đồ uống hoặc thực phẩm có thành phần thạch.
Đường,45,Sugar,설탕,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Đường”.
Dép,44,Slippers,슬리퍼,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Dép”.
Áo,44,Tops,상의,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Áo”.
Trị Mụn,44,Acne Care,여드름 케어,Sản phẩm chăm sóc da hướng đến hỗ trợ da mụn.
Chiên Giòn,44,Crispy Fried,바삭 튀김,Thực phẩm được chế biến theo kiểu chiên giòn.
Bút Chì,44,Pencil,연필,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Bút Chì”.
Tiêu,43,Pepper,후추,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Tiêu”.
Thịt Hộp,43,Canned Meat,육류 통조림,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Thịt Hộp”."
Khăn Tắm,43,Bath Towel,목욕 수건,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Khăn Tắm”."
Kem Lạnh,43,Ice Cream,아이스크림,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Kem Lạnh”."
Lạp Xưởng,43,Chinese Sausage,중국식 소시지,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Lạp Xưởng”."
Giấy Ghi Chú,42,Sticky Notes,메모지,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Giấy Ghi Chú”.
Lên Men,42,Fermented,발효,Thực phẩm hoặc đồ uống được chế biến bằng quá trình lên men.
Cola,40,Cola,콜라,Nước giải khát có hương vị cola.
Bánh Tươi,39,Fresh Bakery,신선 베이커리,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Tươi”.
Bình Giữ Nhiệt,39,Thermos Bottle,보온병,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Bình Giữ Nhiệt”.
Soju,39,Soju,소주,Đồ uống có cồn thuộc loại “Soju”.
Bánh Tráng,39,Rice Paper,라이스페이퍼,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Tráng”.
Bột Mì,39,Wheat Flour,밀가루,"Bột mì dùng làm bánh, nấu ăn hoặc chế biến thực phẩm."
Nước Năng Lượng,39,Energy Drink,에너지 음료,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Năng Lượng”.
Đà Lạt,39,Da Lat,달랏,"Sản phẩm có nguồn gốc, đặc sản hoặc liên quan đến khu vực Đà Lạt."
Dầu Ô Liu,38,Olive Oil,올리브유,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Dầu Ô Liu”."
Trà Ô Long,38,Oolong Tea,우롱차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Ô Long”."
Bút Bi,38,Ballpoint Pen,볼펜,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Bút Bi”.
Khăn Mặt,38,Face Towel,세면 수건,"Đồ dùng gia đình, phòng ngủ hoặc phòng tắm thuộc nhóm “Khăn Mặt”."
Cá Viên,38,Fish Balls,어묵볼,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Cá Viên”.
Miến Gói,38,Instant Glass Noodles,즉석 당면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Miến Gói”."
Trang Điểm,37,Makeup,메이크업,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Trang Điểm”.
Đũa,37,Chopsticks,젓가락,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Đũa”.
Áo Thun,37,T-Shirt,티셔츠,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Áo Thun”.
Nấu Lẩu,37,Hot Pot Cooking,전골·훠궈 조리,Nguyên liệu hoặc sản phẩm phù hợp để nấu lẩu.
Niacinamide,37,Niacinamide,나이아신아마이드,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Niacinamide”.
Trang Trí,37,Decoration,장식,Sản phẩm phục vụ nhu cầu trang trí.
Siêu Cay,37,Extra Spicy,매우 매운맛,Sản phẩm có mức độ cay rất cao.
Nước Hoa,36,Perfume,향수,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Nước Hoa”.
Canh,36,Soup,국·수프,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Canh”."
Mì Trộn,36,Mixed Noodles,비빔면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Trộn”."
Muỗng,35,Spoon,숟가락,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Muỗng”.
Kim Chi,35,Kimchi,김치,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Kim Chi”."
Cục Gôm,35,Eraser,지우개,Văn phòng phẩm hoặc dụng cụ học tập thuộc nhóm “Cục Gôm”.
Nước Tẩy Quần Áo,35,Laundry Bleach,의류 표백제,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Nước Tẩy Quần Áo”."
Mũ Bảo Hiểm,34,Helmet,헬멧,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Mũ Bảo Hiểm”.
Quần,34,Pants,바지,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Quần”.
Bánh Mì,34,Bread,빵,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Mì”.
Quạt Mini,34,Mini Fan,미니 선풍기,"Quạt kích thước nhỏ, phù hợp nhu cầu làm mát cá nhân."
Vớ,34,Socks,양말,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Vớ”.
Khăn Rút,33,Pull-Out Tissue,뽑아쓰는 티슈,Khăn giấy hoặc khăn dùng theo dạng rút từng tờ.
Yến Mạch,33,Oats,귀리,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Yến Mạch”."
Cháo Gói,33,Instant Porridge,즉석 죽,"Cháo đóng gói, thường dùng theo dạng ăn liền hoặc chế biến nhanh."
Phi Lê,33,Fillet,필레,Thịt hoặc thủy hải sản đã được phi lê.
Khăn Lau,32,Cleaning Cloth,행주·청소포,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Khăn Lau”."
Món Nhật,32,Japanese Food,일식,Món ăn hoặc sản phẩm thuộc nhóm “Món Nhật”.
Cắt Khúc,32,Cut into Pieces,토막 손질,Thực phẩm hoặc nguyên liệu được sơ chế thành từng khúc.
Trà Hòa Tan,32,Instant Tea,인스턴트 차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Hòa Tan”."
Bột Giặt,31,Laundry Powder,가루 세탁세제,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Bột Giặt”."
Sốt Mayonnaise,31,Mayonnaise,마요네즈,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Mayonnaise”."
Chả Lụa,31,Vietnamese Pork Sausage,베트남식 돼지고기 소시지,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Chả Lụa”."
Không Mùi,31,Fragrance Free,무향,Sản phẩm không mùi hoặc được công bố không mùi.
Nước Khoáng,31,Mineral Water,생수·미네랄워터,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Khoáng”.
Kẹo Socola,30,Chocolate Candy,초콜릿 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Socola”.
